bvn,employer_id,job_title,employment_type,start_date,end_date,is_current,work_state,work_lga
20000000001,EMP_000012,Project Manager,Full-time,2021-03-10,,True,Oyo,Ibadan North
20000000002,EMP_000056,Procurement Officer,Full-time,2021-03-02,2022-11-22,False,Bayelsa,Ogbia
20000000002,EMP_000168,Nurse,Full-time,2022-11-23,2024-06-15,False,Bayelsa,Ogbia
20000000005,EMP_000044,Account Officer,Full-time,2022-08-26,2024-03-18,False,Katsina,Daura
20000000005,EMP_000133,Logistics Coordinator,Full-time,2023-02-02,,True,Katsina,Daura
20000000007,EMP_000092,Marketing Associate,Full-time,2018-04-09,2019-10-01,False,Gombe,Kaltungo
20000000008,EMP_000059,Teacher,Full-time,2019-09-15,2020-07-11,False,Rivers,Obio-Akpor
20000000009,EMP_000047,Procurement Officer,Full-time,2024-02-20,2026-01-10,False,Kaduna,Zaria
20000000010,EMP_000015,Marketing Associate,Full-time,2023-09-03,2025-11-21,False,Taraba,Wukari
20000000012,EMP_000124,Customer Support,Part-time,2018-12-27,2021-01-15,False,FCT,Abuja Municipal
20000000014,EMP_000002,Operations Associate,Full-time,2019-11-22,,True,Zamfara,Kaura Namoda
20000000015,EMP_000065,Software Engineer,Part-time,2023-09-23,,True,Kaduna,Zaria
20000000021,EMP_000065,Account Officer,Part-time,2022-11-17,2025-02-04,False,Osun,Ilesa East
20000000021,EMP_000112,Marketing Associate,Full-time,2023-10-22,2025-03-15,False,Osun,Ilesa East
20000000021,EMP_000154,Nurse,Full-time,2024-05-03,2026-09-20,False,Osun,Ilesa East
20000000022,EMP_000031,Field Officer,Full-time,2017-02-10,2018-12-02,False,Katsina,Daura
20000000023,EMP_000136,Operations Associate,Full-time,2020-10-26,,True,Abia,Umuahia North
20000000024,EMP_000175,Operations Associate,Full-time,2023-12-04,2025-09-24,False,Kano,Nassarawa
20000000024,EMP_000162,Customer Support,Full-time,2024-10-20,,True,Kano,Nassarawa
20000000025,EMP_000126,Software Engineer,Full-time,2021-08-03,2023-08-23,False,Katsina,Katsina
20000000025,EMP_000122,Customer Support,Full-time,2022-01-02,2024-03-22,False,Katsina,Katsina
20000000025,EMP_000018,Field Officer,Contract,2023-09-01,2025-01-23,False,Katsina,Katsina
20000000026,EMP_000026,Nurse,Full-time,2019-03-05,2021-08-21,False,Lagos,Surulere
20000000026,EMP_000131,Project Manager,Full-time,2020-09-25,2022-03-19,False,Lagos,Surulere
20000000027,EMP_000078,Customer Support,Full-time,2021-09-26,2023-03-20,False,Kogi,Okene
20000000028,EMP_000161,Teacher,Part-time,2019-04-01,,True,Kaduna,Kaduna South
20000000029,EMP_000112,Sales Executive,Contract,2024-06-16,2025-04-12,False,Taraba,Jalingo
20000000030,EMP_000025,Data Analyst,Contract,2023-09-09,,True,Borno,Biu
20000000033,EMP_000162,Nurse,Full-time,2023-10-13,2026-01-30,False,FCT,Abuja Municipal
20000000033,EMP_000166,Account Officer,Full-time,2024-08-08,2026-07-29,False,FCT,Abuja Municipal
20000000034,EMP_000176,Logistics Coordinator,Contract,2022-02-22,,True,Anambra,Nnewi North
20000000035,EMP_000145,Logistics Coordinator,Full-time,2022-06-23,2024-09-10,False,Ebonyi,Afikpo North
20000000038,EMP_000094,Project Manager,Contract,2019-01-27,,True,Benue,Gboko
20000000040,EMP_000121,Field Officer,Full-time,2016-06-17,2018-04-08,False,Ebonyi,Abakaliki
20000000040,EMP_000014,Customer Support,Full-time,2017-05-13,,True,Ebonyi,Abakaliki
20000000041,EMP_000121,Procurement Officer,Full-time,2019-12-11,2021-05-04,False,Taraba,Jalingo
20000000041,EMP_000125,Software Engineer,Full-time,2020-02-15,2020-09-12,False,Taraba,Jalingo
20000000043,EMP_000116,Marketing Associate,Full-time,2018-03-23,,True,Imo,Orlu
20000000044,EMP_000200,Nurse,Full-time,2021-02-01,,True,Kogi,Lokoja
20000000048,EMP_000069,Operations Associate,Contract,2022-10-07,2024-01-30,False,Jigawa,Dutse
20000000049,EMP_000028,Field Officer,Contract,2018-11-21,2020-08-12,False,Jigawa,Hadejia
20000000050,EMP_000082,Account Officer,Part-time,2016-08-10,,True,Taraba,Wukari
20000000052,EMP_000133,Nurse,Full-time,2021-07-25,2023-06-15,False,Bauchi,Bauchi
20000000053,EMP_000090,Marketing Associate,Full-time,2018-10-11,2020-06-02,False,Benue,Makurdi
20000000053,EMP_000122,Sales Executive,Full-time,2019-08-07,2020-12-29,False,Benue,Makurdi
20000000055,EMP_000093,Nurse,Part-time,2017-09-02,2019-03-26,False,Kebbi,Birnin Kebbi
20000000056,EMP_000066,Sales Executive,Contract,2021-12-19,2024-05-07,False,Taraba,Wukari
20000000059,EMP_000172,Account Officer,Full-time,2022-09-27,2023-07-24,False,Jigawa,Hadejia
20000000060,EMP_000198,Field Officer,Contract,2024-11-27,2026-01-21,False,Borno,Maiduguri
20000000061,EMP_000162,Sales Executive,Full-time,2020-04-18,2021-02-12,False,Ekiti,Oye
20000000062,EMP_000118,Project Manager,Full-time,2018-10-12,2019-12-06,False,Kwara,Ilorin West
20000000062,EMP_000097,Logistics Coordinator,Contract,2019-06-09,2021-10-26,False,Kwara,Ilorin West
20000000063,EMP_000046,Customer Support,Full-time,2020-03-21,2020-11-16,False,Edo,Egor
20000000065,EMP_000115,Account Officer,Full-time,2019-10-08,2022-01-25,False,Kwara,Ilorin East
20000000066,EMP_000007,Nurse,Full-time,2022-11-17,2023-05-16,False,Ekiti,Oye
20000000067,EMP_000006,Field Officer,Contract,2017-12-06,,True,Enugu,Enugu South
20000000069,EMP_000200,Teacher,Full-time,2023-03-18,2025-04-06,False,Kwara,Offa
20000000069,EMP_000087,Marketing Associate,Full-time,2024-08-09,,True,Kwara,Offa
20000000070,EMP_000192,Procurement Officer,Full-time,2019-03-01,,True,Enugu,Enugu North
20000000071,EMP_000036,Teacher,Full-time,2020-11-01,2023-04-20,False,Lagos,Alimosho
20000000071,EMP_000169,Operations Associate,Full-time,2021-08-18,2023-07-09,False,Lagos,Alimosho
20000000073,EMP_000123,Logistics Coordinator,Contract,2024-03-22,2024-12-17,False,Anambra,Awka South
20000000073,EMP_000110,Software Engineer,Full-time,2025-11-13,,True,Anambra,Awka South
20000000074,EMP_000193,Marketing Associate,Full-time,2018-09-07,,True,Rivers,Obio-Akpor
20000000076,EMP_000123,Procurement Officer,Contract,2022-07-19,2024-05-09,False,Taraba,Jalingo
20000000078,EMP_000117,Nurse,Full-time,2022-05-03,,True,Rivers,Okrika
20000000079,EMP_000178,Operations Associate,Contract,2022-03-21,,True,Ekiti,Ado-Ekiti
20000000082,EMP_000108,Project Manager,Full-time,2022-02-18,2024-02-08,False,Enugu,Nsukka
20000000084,EMP_000080,Data Analyst,Full-time,2019-02-07,2020-10-29,False,Katsina,Daura
20000000084,EMP_000097,Sales Executive,Full-time,2020-06-16,2022-01-07,False,Katsina,Daura
20000000084,EMP_000005,Field Officer,Contract,2021-08-25,2023-11-13,False,Katsina,Daura
20000000085,EMP_000046,Account Officer,Full-time,2024-04-20,2026-09-07,False,Kwara,Ilorin East
20000000085,EMP_000028,Operations Associate,Full-time,2025-05-04,2026-08-27,False,Kwara,Ilorin East
20000000086,EMP_000118,Customer Support,Contract,2017-12-19,2019-11-09,False,Taraba,Jalingo
20000000086,EMP_000150,Operations Associate,Full-time,2018-11-10,,True,Taraba,Jalingo
20000000087,EMP_000151,Account Officer,Full-time,2016-06-03,2017-05-29,False,Lagos,Alimosho
20000000087,EMP_000141,Project Manager,Full-time,2017-05-07,,True,Lagos,Alimosho
20000000088,EMP_000037,Sales Executive,Full-time,2023-08-17,,True,Kogi,Lokoja
20000000095,EMP_000148,Nurse,Full-time,2024-06-17,2025-06-12,False,Gombe,Gombe
20000000097,EMP_000137,Account Officer,Part-time,2023-03-10,2025-05-28,False,Niger,Minna
20000000098,EMP_000174,Customer Support,Full-time,2024-04-14,2024-10-11,False,Ebonyi,Abakaliki
20000000099,EMP_000130,Procurement Officer,Full-time,2016-05-27,,True,Delta,Oshimili South
20000000100,EMP_000132,Operations Associate,Full-time,2016-05-10,,True,Akwa Ibom,Uyo
20000000101,EMP_000109,Teacher,Full-time,2016-12-02,,True,Kaduna,Kaduna South
20000000102,EMP_000073,Software Engineer,Contract,2017-01-14,2019-06-03,False,Rivers,Port Harcourt
20000000104,EMP_000035,Field Officer,Contract,2021-07-01,2023-05-22,False,Jigawa,Dutse
20000000104,EMP_000028,Nurse,Full-time,2022-07-24,2024-10-11,False,Jigawa,Dutse
20000000104,EMP_000063,Software Engineer,Full-time,2023-12-02,2025-01-25,False,Jigawa,Dutse
20000000105,EMP_000064,Software Engineer,Part-time,2018-07-22,,True,Kogi,Okene
20000000109,EMP_000064,Project Manager,Full-time,2023-03-03,2023-08-30,False,Oyo,Ogbomosho North
20000000109,EMP_000183,Project Manager,Contract,2024-05-04,2026-10-21,False,Oyo,Ogbomosho North
20000000110,EMP_000043,Sales Executive,Full-time,2017-02-25,2019-07-15,False,Anambra,Awka South
20000000111,EMP_000022,Logistics Coordinator,Contract,2022-07-20,2024-09-07,False,Lagos,Eti-Osa
20000000112,EMP_000027,Procurement Officer,Full-time,2022-08-11,,True,Ondo,Owo
20000000114,EMP_000145,Nurse,Full-time,2021-07-02,,True,Ekiti,Oye
20000000116,EMP_000106,Sales Executive,Full-time,2018-12-07,2019-12-02,False,Jigawa,Hadejia
20000000117,EMP_000161,Operations Associate,Contract,2016-03-28,,True,Bayelsa,Yenagoa
20000000118,EMP_000049,Data Analyst,Full-time,2018-04-25,2018-10-22,False,Sokoto,Tambuwal
20000000119,EMP_000126,Field Officer,Full-time,2019-10-05,2020-08-30,False,Anambra,Onitsha North
20000000121,EMP_000147,Marketing Associate,Full-time,2016-01-26,2016-09-22,False,Gombe,Kaltungo
20000000121,EMP_000061,Teacher,Full-time,2017-03-23,2018-07-16,False,Gombe,Kaltungo
20000000123,EMP_000038,Teacher,Contract,2016-09-27,,True,Ogun,Sagamu
20000000124,EMP_000069,Software Engineer,Full-time,2019-01-02,,True,Gombe,Gombe
20000000125,EMP_000163,Teacher,Full-time,2022-01-08,2022-10-05,False,Adamawa,Yola North
20000000125,EMP_000096,Field Officer,Full-time,2023-05-16,2025-05-05,False,Adamawa,Yola North
20000000126,EMP_000197,Nurse,Contract,2024-01-28,,True,Enugu,Enugu South
20000000127,EMP_000064,Operations Associate,Full-time,2024-02-03,,True,Kaduna,Kaduna South
20000000129,EMP_000131,Procurement Officer,Contract,2016-04-11,,True,Ekiti,Oye
20000000131,EMP_000143,Sales Executive,Contract,2022-11-12,2025-04-30,False,Gombe,Gombe
20000000131,EMP_000068,Operations Associate,Full-time,2023-06-09,2025-11-25,False,Gombe,Gombe
20000000132,EMP_000157,Logistics Coordinator,Full-time,2024-04-15,2025-01-10,False,Adamawa,Mubi North
20000000133,EMP_000198,Account Officer,Part-time,2019-12-01,2020-12-25,False,Ogun,Abeokuta South
20000000134,EMP_000053,Data Analyst,Full-time,2017-11-10,,True,Nasarawa,Keffi
20000000135,EMP_000043,Project Manager,Contract,2024-07-17,2026-02-07,False,Kwara,Ilorin West
20000000136,EMP_000063,Teacher,Full-time,2023-01-01,2023-06-30,False,Ondo,Owo
20000000138,EMP_000066,Customer Support,Contract,2017-08-21,2019-11-09,False,Cross River,Calabar Municipal
20000000139,EMP_000021,Logistics Coordinator,Full-time,2021-10-19,,True,Gombe,Kaltungo
20000000142,EMP_000187,Field Officer,Contract,2018-10-02,2019-09-27,False,Ekiti,Ado-Ekiti
20000000143,EMP_000096,Teacher,Full-time,2021-06-12,2023-01-03,False,Kano,Gwale
20000000144,EMP_000131,Nurse,Full-time,2020-12-27,2022-05-21,False,Cross River,Ikom
20000000144,EMP_000040,Sales Executive,Full-time,2021-02-05,2022-05-01,False,Cross River,Ikom
20000000146,EMP_000087,Software Engineer,Full-time,2020-02-17,2021-07-11,False,Imo,Owerri Municipal
20000000146,EMP_000169,Field Officer,Full-time,2021-07-01,,True,Imo,Owerri Municipal
20000000148,EMP_000154,Nurse,Full-time,2018-12-23,,True,Bauchi,Azare
20000000150,EMP_000100,Account Officer,Contract,2023-09-04,2024-07-30,False,Niger,Minna
20000000151,EMP_000038,Teacher,Full-time,2017-06-26,2018-12-18,False,Kano,Tarauni
20000000152,EMP_000138,Customer Support,Full-time,2021-12-20,2022-09-16,False,Borno,Maiduguri
20000000152,EMP_000009,Procurement Officer,Full-time,2022-02-12,2023-09-05,False,Borno,Maiduguri
20000000152,EMP_000103,Marketing Associate,Full-time,2023-12-28,,True,Borno,Maiduguri
20000000154,EMP_000166,Project Manager,Full-time,2018-01-02,2018-10-29,False,Kebbi,Argungu
20000000155,EMP_000109,Software Engineer,Full-time,2023-01-16,2023-10-13,False,Anambra,Awka South
20000000158,EMP_000186,Project Manager,Full-time,2022-11-25,,True,Gombe,Gombe
20000000159,EMP_000065,Software Engineer,Full-time,2017-09-02,2018-03-31,False,Enugu,Enugu North
20000000160,EMP_000132,Teacher,Part-time,2023-07-01,,True,Bauchi,Bauchi
20000000162,EMP_000166,Project Manager,Full-time,2022-10-09,,True,Kano,Tarauni
20000000163,EMP_000192,Project Manager,Full-time,2024-05-14,,True,Borno,Maiduguri
20000000164,EMP_000110,Customer Support,Full-time,2021-09-07,2022-04-05,False,Kwara,Offa
20000000164,EMP_000097,Software Engineer,Part-time,2022-01-09,,True,Kwara,Offa
20000000165,EMP_000197,Data Analyst,Contract,2017-06-17,,True,Kogi,Okene
20000000167,EMP_000199,Teacher,Full-time,2022-07-15,2023-10-08,False,Zamfara,Gusau
20000000168,EMP_000008,Logistics Coordinator,Full-time,2017-07-16,2018-09-09,False,Ondo,Ondo West
20000000169,EMP_000064,Nurse,Part-time,2018-09-16,2020-12-04,False,Abia,Umuahia North
20000000169,EMP_000149,Software Engineer,Full-time,2019-07-07,2021-12-23,False,Abia,Umuahia North
20000000170,EMP_000184,Marketing Associate,Full-time,2016-07-03,,True,Rivers,Eleme
20000000172,EMP_000101,Customer Support,Contract,2023-02-27,2024-02-22,False,Katsina,Daura
20000000173,EMP_000060,Marketing Associate,Full-time,2022-09-22,,True,Kaduna,Zaria
20000000174,EMP_000129,Teacher,Contract,2022-03-24,2023-01-18,False,Benue,Otukpo
20000000175,EMP_000099,Field Officer,Full-time,2020-09-23,2021-04-21,False,Delta,Warri South
20000000176,EMP_000191,Nurse,Full-time,2020-07-19,2022-11-06,False,Oyo,Oyo East
20000000177,EMP_000132,Logistics Coordinator,Full-time,2018-05-09,2020-07-27,False,Ogun,Ijebu Ode
20000000179,EMP_000064,Procurement Officer,Full-time,2017-04-16,2018-09-08,False,Anambra,Awka South
20000000179,EMP_000095,Account Officer,Full-time,2018-05-12,2019-05-07,False,Anambra,Awka South
20000000180,EMP_000152,Teacher,Full-time,2024-01-26,2025-07-19,False,Abia,Umuahia North
20000000181,EMP_000043,Software Engineer,Full-time,2017-04-03,2019-05-23,False,Bauchi,Azare
20000000182,EMP_000175,Account Officer,Full-time,2020-04-08,2021-08-31,False,Gombe,Kaltungo
20000000182,EMP_000189,Nurse,Full-time,2021-10-14,2022-10-09,False,Gombe,Kaltungo
20000000186,EMP_000134,Logistics Coordinator,Full-time,2019-10-16,,True,Akwa Ibom,Eket
20000000188,EMP_000053,Account Officer,Part-time,2023-05-03,2025-01-22,False,Kebbi,Argungu
20000000190,EMP_000175,Nurse,Full-time,2020-11-04,2023-01-23,False,Kaduna,Zaria
20000000191,EMP_000111,Sales Executive,Part-time,2017-01-13,2018-12-04,False,Yobe,Damaturu
20000000192,EMP_000144,Project Manager,Full-time,2021-12-19,2023-06-12,False,Zamfara,Kaura Namoda
20000000192,EMP_000017,Operations Associate,Full-time,2022-10-26,2024-12-14,False,Zamfara,Kaura Namoda
20000000192,EMP_000010,Data Analyst,Part-time,2023-07-26,2025-06-15,False,Zamfara,Kaura Namoda
20000000193,EMP_000132,Software Engineer,Full-time,2017-05-23,2017-11-19,False,Nasarawa,Lafia
20000000193,EMP_000025,Software Engineer,Full-time,2018-07-18,2020-10-05,False,Nasarawa,Lafia
20000000194,EMP_000070,Customer Support,Full-time,2019-03-09,2021-04-27,False,Taraba,Wukari
20000000194,EMP_000098,Logistics Coordinator,Full-time,2020-02-26,2022-06-15,False,Taraba,Wukari
20000000197,EMP_000158,Project Manager,Contract,2016-06-04,2016-12-31,False,Kano,Gwale
20000000197,EMP_000032,Logistics Coordinator,Full-time,2017-08-18,2019-07-09,False,Kano,Gwale
20000000199,EMP_000141,Marketing Associate,Full-time,2017-07-13,2019-02-03,False,Osun,Ilesa East
20000000199,EMP_000043,Account Officer,Full-time,2018-08-11,,True,Osun,Ilesa East
20000000200,EMP_000081,Data Analyst,Full-time,2020-07-04,2022-10-22,False,Bayelsa,Yenagoa
20000000200,EMP_000155,Project Manager,Full-time,2021-12-04,2023-11-24,False,Bayelsa,Yenagoa
20000000201,EMP_000027,Customer Support,Full-time,2023-01-16,2023-10-13,False,Plateau,Jos North
20000000201,EMP_000070,Procurement Officer,Contract,2024-11-07,2027-04-26,False,Plateau,Jos North
20000000202,EMP_000184,Project Manager,Full-time,2016-02-07,2017-10-29,False,Jigawa,Dutse
20000000202,EMP_000059,Nurse,Contract,2017-07-09,,True,Jigawa,Dutse
20000000204,EMP_000058,Procurement Officer,Part-time,2024-03-09,2026-04-28,False,Cross River,Ikom
20000000206,EMP_000114,Data Analyst,Full-time,2016-01-09,2016-07-07,False,Akwa Ibom,Uyo
