bvn,year_month,total_inflows,total_outflows,num_inflow_txns,num_outflow_txns,spending_ratio,net_cashflow,state_of_residence,top_spend_category,state_avg_spending_ratio
20000000000,2025-07,0.0,39166.0,0,1,,-39166.0,Plateau,Restaurant,0.0
20000000000,2025-09,0.0,54954.0,0,1,,-54954.0,Plateau,Transport,0.0
20000000000,2026-01,652647.0,0.0,1,0,0.0,652647.0,Plateau,,0.0
20000000001,2025-05,433654.0,0.0,1,0,0.0,433654.0,Oyo,,0.0
20000000001,2025-08,0.0,154123.0,0,1,,-154123.0,Oyo,Food,0.0
20000000001,2025-10,0.0,118630.0,0,1,,-118630.0,Oyo,Utilities,0.0
20000000002,2025-02,639785.0,0.0,1,0,0.0,639785.0,Bayelsa,,0.0
20000000002,2025-07,0.0,219422.0,0,1,,-219422.0,Bayelsa,Transport,0.0
20000000002,2025-09,0.0,145543.0,0,1,,-145543.0,Bayelsa,Healthcare,0.0
20000000003,2025-07,0.0,60323.0,0,1,,-60323.0,Oyo,Transfers,0.0
20000000003,2025-08,0.0,21110.0,0,1,,-21110.0,Oyo,Restaurant,0.0
20000000003,2025-10,76170.0,0.0,1,0,0.0,76170.0,Oyo,,0.0
20000000004,2025-02,0.0,46417.0,0,1,,-46417.0,Lagos,Food,0.0
20000000004,2025-03,1176398.0,0.0,1,0,0.0,1176398.0,Lagos,,0.0
20000000004,2025-06,0.0,363869.0,0,1,,-363869.0,Lagos,Entertainment,0.0
20000000005,2025-03,0.0,115171.0,0,1,,-115171.0,Katsina,Utilities,0.0
20000000005,2025-04,0.0,368246.0,0,1,,-368246.0,Katsina,Utilities,0.0
20000000005,2026-01,238130.0,0.0,1,0,0.0,238130.0,Katsina,,0.0
20000000006,2025-03,31976.0,0.0,1,0,0.0,31976.0,Lagos,,0.0
20000000006,2025-06,0.0,51749.0,0,1,,-51749.0,Lagos,Restaurant,0.0
20000000006,2026-01,0.0,33231.0,0,1,,-33231.0,Lagos,Insurance,0.0
20000000007,2025-02,0.0,4708.0,0,1,,-4708.0,Gombe,Healthcare,0.0
20000000007,2025-04,0.0,45336.0,0,1,,-45336.0,Gombe,Food,0.0
20000000007,2025-06,106508.0,0.0,1,0,0.0,106508.0,Gombe,,0.0
20000000008,2025-02,0.0,67365.0,0,1,,-67365.0,Rivers,Restaurant,0.0
20000000008,2025-09,0.0,197826.0,0,1,,-197826.0,Rivers,Housing,0.0
20000000008,2025-12,1304110.0,0.0,1,0,0.0,1304110.0,Rivers,,0.0
20000000009,2025-02,0.0,33891.0,0,1,,-33891.0,Kaduna,Transport,0.0
20000000009,2025-06,0.0,125725.0,0,1,,-125725.0,Kaduna,Debt,0.0
20000000009,2025-11,398127.0,0.0,1,0,0.0,398127.0,Kaduna,,0.0
20000000010,2025-08,140665.0,0.0,1,0,0.0,140665.0,Taraba,,0.0
20000000010,2025-11,0.0,22499.0,0,1,,-22499.0,Taraba,Transfers,0.0
20000000010,2025-12,0.0,35460.0,0,1,,-35460.0,Taraba,Debt,0.0
20000000011,2025-04,303559.0,0.0,1,0,0.0,303559.0,Imo,,0.0
20000000011,2025-05,0.0,204981.0,0,1,,-204981.0,Imo,Housing,0.0
20000000011,2025-08,0.0,144009.0,0,1,,-144009.0,Imo,Utilities,0.0
20000000012,2025-04,0.0,10837.0,0,1,,-10837.0,FCT,Transport,0.0
20000000012,2025-09,45067.0,0.0,1,0,0.0,45067.0,FCT,,0.0
20000000012,2025-10,0.0,16613.0,0,1,,-16613.0,FCT,Food,0.0
20000000013,2025-09,0.0,46771.0,0,1,,-46771.0,Bauchi,Utilities,0.0
20000000013,2025-10,134889.0,0.0,1,0,0.0,134889.0,Bauchi,,0.0
20000000013,2025-12,0.0,20524.0,0,1,,-20524.0,Bauchi,Food,0.0
20000000014,2025-06,0.0,6217.0,0,1,,-6217.0,Zamfara,Housing,0.0
20000000014,2025-09,0.0,13014.0,0,1,,-13014.0,Zamfara,Housing,0.0
20000000014,2026-01,117275.0,0.0,1,0,0.0,117275.0,Zamfara,,0.0
20000000015,2025-06,0.0,19158.0,0,1,,-19158.0,Kaduna,Transport,0.0
20000000015,2025-08,0.0,26556.0,0,1,,-26556.0,Kaduna,Transfers,0.0
20000000015,2026-01,106797.0,0.0,1,0,0.0,106797.0,Kaduna,,0.0
20000000016,2025-08,0.0,18612.0,0,1,,-18612.0,Yobe,Clothing,0.0
20000000016,2025-10,0.0,22347.0,0,1,,-22347.0,Yobe,Utilities,0.0
20000000016,2025-12,118321.0,0.0,1,0,0.0,118321.0,Yobe,,0.0
20000000017,2025-09,330200.0,0.0,1,0,0.0,330200.0,Abia,,0.0
20000000017,2025-10,0.0,190021.0,0,1,,-190021.0,Abia,Other_Spend,0.0
20000000017,2025-11,0.0,54143.0,0,1,,-54143.0,Abia,Food,0.0
20000000018,2025-08,0.0,26379.0,0,1,,-26379.0,Jigawa,Utilities,0.0
20000000018,2025-09,0.0,249495.0,0,1,,-249495.0,Jigawa,Healthcare,0.0
20000000018,2026-01,651408.0,0.0,1,0,0.0,651408.0,Jigawa,,0.0
20000000019,2025-08,0.0,32122.0,0,1,,-32122.0,Anambra,Housing,0.0
20000000019,2025-09,1238604.0,0.0,1,0,0.0,1238604.0,Anambra,,0.0
20000000019,2026-01,0.0,34046.0,0,1,,-34046.0,Anambra,Utilities,0.0
20000000020,2025-08,49014.0,0.0,1,0,0.0,49014.0,Bayelsa,,0.0
20000000020,2025-10,0.0,48436.0,0,1,,-48436.0,Bayelsa,Food,0.0
20000000020,2025-12,0.0,7245.0,0,1,,-7245.0,Bayelsa,Food,0.0
20000000021,2025-09,119444.0,0.0,1,0,0.0,119444.0,Osun,,0.0
20000000021,2025-10,0.0,11608.0,0,1,,-11608.0,Osun,Healthcare,0.0
20000000021,2026-01,0.0,5124.0,0,1,,-5124.0,Osun,Utilities,0.0
20000000022,2025-08,0.0,52073.0,0,1,,-52073.0,Katsina,Transport,0.0
20000000022,2025-10,136475.0,0.0,1,0,0.0,136475.0,Katsina,,0.0
20000000022,2025-11,0.0,23876.0,0,1,,-23876.0,Katsina,Clothing,0.0
20000000023,2025-02,0.0,4124.0,0,1,,-4124.0,Abia,Food,0.0
20000000023,2025-05,58629.0,0.0,1,0,0.0,58629.0,Abia,,0.0
20000000023,2025-07,0.0,12709.0,0,1,,-12709.0,Abia,Transport,0.0
20000000024,2025-10,0.0,173823.0,0,1,,-173823.0,Kano,Healthcare,0.0
20000000024,2025-12,0.0,138679.0,0,1,,-138679.0,Kano,Utilities,0.0
20000000024,2026-01,943339.0,0.0,1,0,0.0,943339.0,Kano,,0.0
20000000025,2025-09,0.0,36551.0,0,1,,-36551.0,Katsina,Utilities,0.0
20000000025,2025-12,89235.0,0.0,1,0,0.0,89235.0,Katsina,,0.0
20000000025,2026-01,0.0,42177.0,0,1,,-42177.0,Katsina,Transport,0.0
20000000026,2025-10,0.0,38909.0,0,1,,-38909.0,Lagos,Restaurant,0.0
20000000026,2025-12,62281.0,0.0,1,0,0.0,62281.0,Lagos,,0.0
20000000026,2026-01,0.0,25806.0,0,1,,-25806.0,Lagos,Healthcare,0.0
20000000027,2025-02,94956.0,0.0,1,0,0.0,94956.0,Kogi,,0.0
20000000027,2025-05,0.0,23094.0,0,1,,-23094.0,Kogi,Utilities,0.0
20000000027,2025-11,0.0,21538.0,0,1,,-21538.0,Kogi,Education,0.0
20000000028,2025-04,0.0,71073.0,0,1,,-71073.0,Kaduna,Food,0.0
20000000028,2025-08,0.0,31038.0,0,1,,-31038.0,Kaduna,Transfers,0.0
20000000028,2025-09,131503.0,0.0,1,0,0.0,131503.0,Kaduna,,0.0
20000000029,2025-03,39455.0,0.0,1,0,0.0,39455.0,Taraba,,0.0
20000000029,2025-09,0.0,4681.0,0,1,,-4681.0,Taraba,Transfers,0.0
20000000029,2025-11,0.0,9763.0,0,1,,-9763.0,Taraba,Debt,0.0
20000000030,2025-03,0.0,202927.0,0,1,,-202927.0,Borno,Transfers,0.0
20000000030,2025-08,273844.0,0.0,1,0,0.0,273844.0,Borno,,0.0
20000000030,2025-10,0.0,133111.0,0,1,,-133111.0,Borno,Transfers,0.0
20000000031,2025-05,0.0,276506.0,0,1,,-276506.0,Enugu,Entertainment,0.0
20000000031,2025-06,0.0,125910.0,0,1,,-125910.0,Enugu,Transport,0.0
20000000031,2025-09,632405.0,0.0,1,0,0.0,632405.0,Enugu,,0.0
20000000032,2025-04,0.0,132885.0,0,1,,-132885.0,Yobe,Transfers,0.0
20000000032,2025-07,0.0,32270.0,0,1,,-32270.0,Yobe,Food,0.0
20000000032,2026-01,890719.0,0.0,1,0,0.0,890719.0,Yobe,,0.0
20000000033,2025-04,0.0,107380.0,0,1,,-107380.0,FCT,Transfers,0.0
20000000033,2025-11,0.0,140753.0,0,1,,-140753.0,FCT,Transport,0.0
20000000033,2025-12,333184.0,0.0,1,0,0.0,333184.0,FCT,,0.0
20000000034,2025-05,0.0,115782.0,0,1,,-115782.0,Anambra,Transport,0.0
20000000034,2025-07,150179.0,0.0,1,0,0.0,150179.0,Anambra,,0.0
20000000034,2025-09,0.0,44079.0,0,1,,-44079.0,Anambra,Utilities,0.0
20000000035,2025-04,934831.0,0.0,1,0,0.0,934831.0,Ebonyi,,0.0
20000000035,2025-09,0.0,103891.0,0,1,,-103891.0,Ebonyi,Transport,0.0
20000000035,2026-01,0.0,41015.0,0,1,,-41015.0,Ebonyi,Entertainment,0.0
20000000036,2025-06,0.0,33349.0,0,1,,-33349.0,Benue,Transfers,0.0
20000000036,2025-07,0.0,14975.0,0,1,,-14975.0,Benue,Food,0.0
20000000036,2025-11,67325.0,0.0,1,0,0.0,67325.0,Benue,,0.0
20000000037,2025-02,0.0,10184.0,0,1,,-10184.0,Rivers,Utilities,0.0
20000000037,2025-03,23835.0,0.0,1,0,0.0,23835.0,Rivers,,0.0
20000000037,2026-01,0.0,51400.0,0,1,,-51400.0,Rivers,Housing,0.0
20000000038,2025-02,0.0,18752.0,0,1,,-18752.0,Benue,Transfers,0.0
20000000038,2025-03,342147.0,0.0,1,0,0.0,342147.0,Benue,,0.0
20000000038,2025-07,0.0,54222.0,0,1,,-54222.0,Benue,Food,0.0
20000000039,2025-02,519157.0,0.0,1,0,0.0,519157.0,Adamawa,,0.0
20000000039,2025-07,0.0,55252.0,0,1,,-55252.0,Adamawa,Utilities,0.0
20000000039,2025-11,0.0,208097.0,0,1,,-208097.0,Adamawa,Food,0.0
20000000040,2025-04,127048.0,0.0,1,0,0.0,127048.0,Ebonyi,,0.0
