account_id,bvn,bank_name,bank_code,account_number,account_type
A1_1,60227680402,Zenith Bank,057,42871422713,current
A1_2,60227680402,UBA,033,86875935868,savings
A1_3,60227680402,Access Bank,044,70220212633,savings
A2_1,67606524296,GTBank,058,32298363942,savings
A2_2,67606524296,First Bank,011,75745391478,savings
A3_1,67403959807,Access Bank,044,07797516851,current
A3_2,67403959807,GTBank,058,75750309883,savings
A4_1,25078951691,Union Bank,032,73638420055,savings
A4_2,25078951691,Zenith Bank,057,06298026219,current
A4_3,25078951691,UBA,033,24406348066,savings
A5_1,43821442294,Union Bank,032,81424039274,current
A5_2,43821442294,Union Bank,032,67764120703,savings
A6_1,55819015621,UBA,033,55927236237,savings
A6_2,55819015621,Access Bank,044,06505513022,current
A7_1,87696082691,GTBank,058,85290680319,savings
A7_2,87696082691,GTBank,058,75400895851,savings
A7_3,87696082691,Access Bank,044,03990366358,savings
A7_4,87696082691,UBA,033,92171419746,savings
A8_1,27188284372,GTBank,058,56830825905,current
A8_2,27188284372,First Bank,011,73653527095,savings
A8_3,27188284372,Zenith Bank,057,30633873344,current
A8_4,27188284372,Access Bank,044,51637154832,current
A9_1,44249710563,GTBank,058,67485733168,savings
A9_2,44249710563,First Bank,011,72864591145,current
A9_3,44249710563,Union Bank,032,98675858742,savings
A10_1,82742472380,UBA,033,54249568730,current
A10_2,82742472380,First Bank,011,23885778424,current
A10_3,82742472380,Access Bank,044,36414160350,current
A11_1,14032373782,Union Bank,032,67679101165,savings
A11_2,14032373782,Access Bank,044,42369771359,current
A12_1,37066178619,UBA,033,44384115669,current
A12_2,37066178619,First Bank,011,48532924756,current
A12_3,37066178619,UBA,033,08127387209,savings
A12_4,37066178619,First Bank,011,24524740242,current
A12_5,37066178619,Access Bank,044,45473722111,savings
A13_1,17257598233,Union Bank,032,61848544109,current
A13_2,17257598233,Polaris Bank,076,10456189025,current
A14_1,67254489366,GTBank,058,51464022802,current
A14_2,67254489366,First Bank,011,76694569801,current
A14_3,67254489366,GTBank,058,58944342545,current
A15_1,76026850785,Union Bank,032,03368362985,current
A15_2,76026850785,GTBank,058,02178808405,current
A15_3,76026850785,UBA,033,67259461962,savings
A15_4,76026850785,UBA,033,30428196192,current
A15_5,76026850785,Polaris Bank,076,44441157107,current
A16_1,37207856844,Union Bank,032,84349397619,savings
A16_2,37207856844,Union Bank,032,55884547461,current
A16_3,37207856844,Union Bank,032,72630365968,current
A16_4,37207856844,GTBank,058,80069974068,current
A16_5,37207856844,Access Bank,044,12030342461,savings
A17_1,08629142208,Polaris Bank,076,56428134255,current
A17_2,08629142208,Access Bank,044,08308799789,savings
A18_1,63666768696,Zenith Bank,057,11595982848,current
