bvn,full_name
10433218196,James Okorie
15594078161,Ibrahim Bello
38849696532,Sadiq Okorie
48281489325,Oluwatobi Okafor
63834657871,Aisha Balogun
73763116566,Sadiq Bello
32677360260,Samuel Abdullahi
38425135427,Ibrahim Okafor
05242786801,Chinedu Mohammed
33754330365,Ibrahim Bello
34060883561,Blessing Okafor
79176936763,Oluwatobi Mohammed
77434873471,Ibrahim Balogun
80699016272,James Abdullahi
18506716572,Samuel Balogun
49578856855,Sadiq Abdullahi
71902294131,Samuel Okafor
49361832421,James Balogun
46807154516,James Mohammed
87558867533,Samuel Balogun
92221969379,Oluwatobi Balogun
85884247451,Sadiq Okorie
13826758692,Samuel Mohammed
05329318393,Aisha Abdullahi
84700766177,Chinedu Okorie
88516560494,Blessing Okorie
66752545991,James Balogun
10762268388,Blessing Okorie
95527177449,James Abdullahi
20715182037,Sadiq Okafor
85054235733,Oluwatobi Balogun
73834735977,Ibrahim Bello
43410369711,Sadiq Okafor
06540515319,Blessing Balogun
45054156676,Blessing Balogun
65431027868,Chinedu Abdullahi
12517785289,Oluwatobi Bello
09439690784,Ibrahim Adebayo
63259532787,Sadiq Abdullahi
78729825952,Samuel Okafor
38578652785,Blessing Mohammed
30165712082,Samuel Mohammed
30463745499,James Abdullahi
13971870728,Samuel Adebayo
56766182512,Samuel Okafor
30284395995,Aisha Abdullahi
26343517518,Aisha Okorie
99642353693,Sadiq Okafor
21182339845,Ibrahim Bello
63159996504,Sadiq Adebayo
10158199560,Ibrahim Adebayo
19398280737,Ibrahim Bello
13529096561,James Okorie
36226609379,Samuel Adebayo
57924991251,Aisha Abdullahi
05072368876,Sadiq Adebayo
49481260422,Aisha Balogun
70632424154,Chinedu Abdullahi
21890927532,Samuel Okafor
84866618892,Ibrahim Okorie
50792524191,Aisha Mohammed
23806174451,Sadiq Okorie
99062344565,Blessing Adebayo
21003236519,Ibrahim Bello
47209993476,Sadiq Okorie
30407859321,Aisha Mohammed
93252500292,Chinedu Bello
70433154100,Samuel Adebayo
61497310324,Chinedu Adebayo
11586938068,Samuel Okafor
67997024629,Samuel Okorie
97279855241,Ibrahim Okorie
20744666099,Aisha Abdullahi
73816846022,Aisha Abdullahi
25753260332,Aisha Mohammed
30461849926,Chinedu Okafor
19721811437,Ibrahim Abdullahi
99358891637,Blessing Mohammed
13055488510,Oluwatobi Adebayo
69958669346,Blessing Abdullahi
65800439735,Aisha Bello
32818268861,Blessing Balogun
81128801336,Chinedu Balogun
00996881435,Aisha Adebayo
