transaction_id,from_account,to_name,to_account,amount,currency,transaction_type,narration,status,transaction_date,session_id
T1,74260451781,McVine Limited,47325240367,58735,NGN,gift,GIFT,SUCCESS,2023-09-07T00:00:00,6602211001485778
T2,45630448909,Chinedu Danladi,17966962368,58101,NGN,purchase,PURCHASE,SUCCESS,2025-07-10T00:00:00,7368998569950990
T3,30405397618,Zola Limited,12486873382,95486,NGN,salary,SALARY,SUCCESS,2023-11-02T00:00:00,1671329019641068
T4,03630757463,McVine Limited,65266992450,48219,NGN,tax,TAX,SUCCESS,2022-12-20T00:00:00,9905582701490196
T5,93666892351,Blessing Adeyemi,68942639102,2573,NGN,subscription,SUBSCRIPTION,SUCCESS,2020-03-31T00:00:00,2265676358051659
T6,09896449967,McVine POS,64673941740,5329908,NGN,business_purchase,BUSINESS_PURCHASE,SUCCESS,2025-01-10T00:00:00,2548685572763518
T7,16316482328,Tunde Adeyemi,40804115037,69530,NGN,gift,GIFT,SUCCESS,2021-07-19T00:00:00,4213951366776095
T8,37927015288,Chukwudi Peter Balogun,14970232221,97411,NGN,tax,TAX,SUCCESS,2023-09-06T00:00:00,8253638752788751
T9,26907629695,Zola Limited,12486873382,7383,NGN,pos_withdrawal,POS_WITHDRAWAL,SUCCESS,2022-08-30T00:00:00,9094933672850071
T10,58028044499,McVine Limited,47325240367,41324,NGN,subscription,SUBSCRIPTION,SUCCESS,2025-01-05T00:00:00,7444383812487825
T11,80071596798,Oluwatobi Danladi,45473722111,95152,NGN,salary,SALARY,SUCCESS,2023-03-13T00:00:00,8852857427841634
T12,26259266922,Adean POS,37905524412,45239,NGN,refund,REFUND,SUCCESS,2024-01-31T00:00:00,5301446731171143
T13,75419463008,Adebayo Adeyemi,80283790485,16834,NGN,subscription,SUBSCRIPTION,SUCCESS,2022-04-07T00:00:00,2498023573638989
T14,36380688651,Ibrahim Lawal,54940482909,93665,NGN,loan_repayment,LOAN_REPAYMENT,SUCCESS,2024-08-25T00:00:00,4086738504720096
T15,20988455872,McVine Limited,84629523996,14253,NGN,refund,REFUND,SUCCESS,2025-02-14T00:00:00,5258769864598956
T16,56428134255,Oluwatobi Abdul Johnson,67617477495,74334,NGN,subscription,SUBSCRIPTION,SUCCESS,2022-03-17T00:00:00,5032040616225251
T17,75745391478,Ibrahim Sadiq,92532074019,69994,NGN,loan_repayment,LOAN_REPAYMENT,SUCCESS,2021-11-25T00:00:00,9905229407742888
T18,48937747892,Chukwudi Abdul Bello,01449516645,69174,NGN,pos_withdrawal,POS_WITHDRAWAL,SUCCESS,2021-01-14T00:00:00,1174418382616148
T19,96149380371,Hadiza Balogun,52817598267,69932,NGN,subscription,SUBSCRIPTION,SUCCESS,2021-01-15T00:00:00,6548253563936957
T20,56163831969,Ibrahim Abdul Okafor,43259945247,59299,NGN,subscription,SUBSCRIPTION,SUCCESS,2024-07-10T00:00:00,3160137789829349
T21,51924905555,Oluwatobi Adebayo,68322618068,3554488,NGN,business_purchase,BUSINESS_PURCHASE,SUCCESS,2021-07-23T00:00:00,5727681341042770
T22,55321074736,Blessing Johnson,89697263293,66479,NGN,tax,TAX,SUCCESS,2023-05-17T00:00:00,7994297338864389
T23,78257868830,Prime Limited,67632630482,75612,NGN,tax,TAX,SUCCESS,2020-01-09T00:00:00,0307964469299104
T24,26907629695,Zola Limited,35686409564,34939,NGN,gift,GIFT,SUCCESS,2022-11-03T00:00:00,1019544030360939
T25,44441157107,Zola Limited,12486873382,84227,NGN,subscription,SUBSCRIPTION,SUCCESS,2021-02-18T00:00:00,2383569987598491
T26,91882701716,Blessing Ahmed,79922179394,29159,NGN,refund,REFUND,SUCCESS,2022-04-17T00:00:00,5009860803102487
T27,98720134760,Zola Limited,35686409564,45745,NGN,salary,SALARY,SUCCESS,2021-06-27T00:00:00,4736012398090477
T28,68258383135,Blessing James Bello,07124201423,12067,NGN,tax,TAX,SUCCESS,2020-02-14T00:00:00,5181452824249120
T29,07554553485,McVine POS,64673941740,13401,NGN,gift,GIFT,SUCCESS,2022-01-05T00:00:00,4430249930723349
T30,94211679384,Chukwudi Balogun,45571876254,99961,NGN,loan_repayment,LOAN_REPAYMENT,SUCCESS,2020-08-23T00:00:00,1710998995053979
T31,98305978893,Adebayo Olu Lawal,55562891928,92197,NGN,loan_repayment,LOAN_REPAYMENT,SUCCESS,2022-04-09T00:00:00,8937526263577984
T32,24130075732,Oluwatobi Ahmed,52817598267,26686,NGN,pos_withdrawal,POS_WITHDRAWAL,SUCCESS,2021-08-18T00:00:00,8721164539310738
