account_id,bvn,bank_code,bank_name,masked_account_number,account_type,currency,opened_date,status
ACC_0000001,20000000000,FBN,First Bank of Nigeria,82****9647,Savings,NGN,2021-10-20,Active
ACC_0000002,20000000001,STANBIC,Stanbic IBTC,56****1225,Savings,NGN,2016-12-26,Active
ACC_0000003,20000000002,ECOBANK,Ecobank,25****4727,Savings,NGN,2023-10-12,Active
ACC_0000004,20000000003,FBN,First Bank of Nigeria,45****5045,Savings,NGN,2025-12-21,Active
ACC_0000005,20000000004,FBN,First Bank of Nigeria,17****9515,Savings,NGN,2023-10-27,Active
ACC_0000006,20000000005,WEMA,Wema Bank,33****6184,Wallet,NGN,2023-02-19,Active
ACC_0000007,20000000006,ECOBANK,Ecobank,10****2582,Savings,NGN,2016-03-02,Active
ACC_0000008,20000000007,WEMA,Wema Bank,87****2362,Savings,NGN,2025-11-05,Active
ACC_0000009,20000000008,FBN,First Bank of Nigeria,00****6482,Savings,NGN,2021-03-03,Active
ACC_0000010,20000000009,STANBIC,Stanbic IBTC,28****9187,Savings,NGN,2018-12-21,Active
ACC_0000011,20000000010,FBN,First Bank of Nigeria,17****0714,Savings,NGN,2025-07-30,Active
ACC_0000012,20000000011,FBN,First Bank of Nigeria,86****8120,Wallet,NGN,2017-09-10,Active
ACC_0000013,20000000012,UBA,United Bank for Africa,63****1568,Savings,NGN,2018-01-14,Active
ACC_0000014,20000000013,ACCESS,Access Bank,18****2024,Savings,NGN,2025-01-28,Dormant
ACC_0000015,20000000014,UBA,United Bank for Africa,84****2202,Savings,NGN,2024-08-24,Active
ACC_0000016,20000000015,ZENITH,Zenith Bank,47****5709,Savings,NGN,2023-01-03,Active
ACC_0000017,20000000016,UBA,United Bank for Africa,62****1339,Current,NGN,2018-06-26,Active
ACC_0000018,20000000017,ECOBANK,Ecobank,88****8687,Savings,NGN,2016-03-20,Active
ACC_0000019,20000000018,ECOBANK,Ecobank,41****3891,Savings,NGN,2021-04-30,Active
ACC_0000020,20000000019,UBA,United Bank for Africa,40****6835,Savings,NGN,2025-12-17,Active
ACC_0000021,20000000020,POLARIS,Polaris Bank,30****2657,Savings,NGN,2023-05-01,Active
ACC_0000022,20000000021,ECOBANK,Ecobank,26****7399,Savings,NGN,2019-12-31,Active
ACC_0000023,20000000022,FBN,First Bank of Nigeria,97****9568,Savings,NGN,2023-09-29,Active
ACC_0000024,20000000023,POLARIS,Polaris Bank,51****2223,Wallet,NGN,2021-05-03,Active
ACC_0000025,20000000024,UBA,United Bank for Africa,56****4717,Savings,NGN,2020-11-01,Active
ACC_0000026,20000000025,FIDELITY,Fidelity Bank,19****1001,Savings,NGN,2017-09-06,Active
ACC_0000027,20000000026,FIDELITY,Fidelity Bank,70****0915,Wallet,NGN,2024-06-16,Active
ACC_0000028,20000000027,ACCESS,Access Bank,62****6023,Savings,NGN,2019-07-11,Active
ACC_0000029,20000000028,UBA,United Bank for Africa,35****1137,Savings,NGN,2016-05-22,Active
ACC_0000030,20000000029,STANBIC,Stanbic IBTC,38****8494,Wallet,NGN,2018-10-01,Active
ACC_0000031,20000000030,UBA,United Bank for Africa,85****4102,Current,NGN,2017-11-02,Active
ACC_0000032,20000000031,GTB,Guaranty Trust Bank,68****6546,Wallet,NGN,2021-08-22,Active
ACC_0000033,20000000032,FBN,First Bank of Nigeria,67****7024,Savings,NGN,2017-05-16,Dormant
ACC_0000034,20000000033,WEMA,Wema Bank,49****2403,Savings,NGN,2017-07-22,Dormant
ACC_0000035,20000000034,STANBIC,Stanbic IBTC,87****7027,Current,NGN,2019-06-08,Active
ACC_0000036,20000000035,STANBIC,Stanbic IBTC,45****6822,Savings,NGN,2023-09-24,Active
ACC_0000037,20000000036,ECOBANK,Ecobank,42****2936,Wallet,NGN,2016-05-02,Active
ACC_0000038,20000000037,GTB,Guaranty Trust Bank,44****5730,Savings,NGN,2016-10-09,Dormant
ACC_0000039,20000000038,WEMA,Wema Bank,89****0648,Current,NGN,2024-10-13,Active
ACC_0000040,20000000039,POLARIS,Polaris Bank,03****4307,Wallet,NGN,2017-08-30,Active
ACC_0000041,20000000040,WEMA,Wema Bank,17****9742,Savings,NGN,2025-10-01,Active
ACC_0000042,20000000041,STANBIC,Stanbic IBTC,93****9361,Savings,NGN,2025-03-31,Active
ACC_0000043,20000000042,POLARIS,Polaris Bank,52****8622,Current,NGN,2019-02-24,Active
ACC_0000044,20000000043,WEMA,Wema Bank,87****9998,Savings,NGN,2017-08-28,Active
ACC_0000045,20000000044,FBN,First Bank of Nigeria,34****9196,Savings,NGN,2021-05-14,Dormant
ACC_0000046,20000000045,ZENITH,Zenith Bank,53****2559,Savings,NGN,2018-12-25,Active
ACC_0000047,20000000046,FBN,First Bank of Nigeria,92****7619,Savings,NGN,2021-04-06,Active
ACC_0000048,20000000047,ACCESS,Access Bank,83****4827,Current,NGN,2017-11-26,Active
ACC_0000049,20000000048,STANBIC,Stanbic IBTC,77****7529,Savings,NGN,2021-11-06,Active
ACC_0000050,20000000049,UBA,United Bank for Africa,39****8061,Savings,NGN,2017-11-05,Dormant
