bvn,state_of_origin,state_of_residence,local_government_area,source_of_income
20000000000,Delta,Plateau,Jos North,Agriculture
20000000001,Akwa Ibom,Oyo,Ibadan North,Informal
20000000002,Ondo,Bayelsa,Ogbia,Business
20000000003,Edo,Oyo,Ogbomosho North,Contract
20000000004,Yobe,Lagos,Eti-Osa,Business
20000000005,Kwara,Katsina,Daura,Business
20000000006,Cross River,Lagos,Ikeja,Business
20000000007,Imo,Gombe,Kaltungo,Salary
20000000008,Osun,Rivers,Obio-Akpor,Business
20000000009,Kano,Kaduna,Zaria,Salary
20000000010,Gombe,Taraba,Wukari,Business
20000000011,Borno,Imo,Owerri Municipal,Agriculture
20000000012,Imo,FCT,Abuja Municipal,Salary
20000000013,Sokoto,Bauchi,Azare,Business
20000000014,Nasarawa,Zamfara,Kaura Namoda,Salary
20000000015,Anambra,Kaduna,Zaria,Salary
20000000016,Delta,Yobe,Damaturu,Business
20000000017,Ekiti,Abia,Umuahia North,Salary
20000000018,Akwa Ibom,Jigawa,Hadejia,Agriculture
20000000019,Edo,Anambra,Nnewi North,Business
20000000020,Niger,Bayelsa,Yenagoa,Investment
20000000021,Bayelsa,Osun,Ilesa East,Agriculture
20000000022,Imo,Katsina,Daura,Salary
20000000023,Benue,Abia,Umuahia North,Agriculture
20000000024,Kaduna,Kano,Nassarawa,Business
20000000025,Enugu,Katsina,Katsina,Business
20000000026,Ebonyi,Lagos,Surulere,Agriculture
20000000027,Kaduna,Kogi,Okene,Salary
20000000028,Osun,Kaduna,Kaduna South,Salary
20000000029,Kebbi,Taraba,Jalingo,Salary
20000000030,Ondo,Borno,Biu,Salary
20000000031,Niger,Enugu,Enugu North,Salary
20000000032,Katsina,Yobe,Damaturu,Freelancing
20000000033,Delta,FCT,Abuja Municipal,Agriculture
20000000034,Taraba,Anambra,Nnewi North,Investment
20000000035,Zamfara,Ebonyi,Afikpo North,Salary
20000000036,Sokoto,Benue,Gboko,Business
20000000037,Katsina,Rivers,Okrika,Business
20000000038,Gombe,Benue,Gboko,Freelancing
20000000039,Lagos,Adamawa,Mubi North,Business
20000000040,Borno,Ebonyi,Abakaliki,Freelancing
20000000041,Delta,Taraba,Jalingo,Business
20000000042,Borno,Katsina,Katsina,Agriculture
20000000043,Kano,Imo,Orlu,Salary
20000000044,Ogun,Kogi,Lokoja,Agriculture
20000000045,Oyo,Borno,Maiduguri,Business
20000000046,Borno,Taraba,Wukari,Agriculture
20000000047,Lagos,Lagos,Ikeja,Agriculture
20000000048,Kwara,Jigawa,Dutse,Contract
20000000049,Nasarawa,Jigawa,Hadejia,Salary
20000000050,Ogun,Taraba,Wukari,Agriculture
20000000051,Jigawa,Imo,Orlu,Salary
20000000052,Bayelsa,Bauchi,Bauchi,Investment
20000000053,Borno,Benue,Makurdi,Salary
20000000054,Niger,Kano,Tarauni,Business
20000000055,Ondo,Kebbi,Birnin Kebbi,Salary
20000000056,Katsina,Taraba,Wukari,Freelancing
20000000057,Akwa Ibom,FCT,Abuja Municipal,Salary
20000000058,Edo,Kano,Nassarawa,Business
20000000059,Enugu,Jigawa,Hadejia,Salary
20000000060,Kano,Borno,Maiduguri,Salary
20000000061,Niger,Ekiti,Oye,Agriculture
20000000062,Katsina,Kwara,Ilorin West,Salary
20000000063,Adamawa,Edo,Egor,Salary
20000000064,Sokoto,Benue,Gboko,Remittance
20000000065,FCT,Kwara,Ilorin East,Business
20000000066,Gombe,Ekiti,Oye,Business
20000000067,Kebbi,Enugu,Enugu South,Agriculture
20000000068,Kwara,Jigawa,Hadejia,Salary
20000000069,Taraba,Kwara,Offa,Salary
20000000070,Ogun,Enugu,Enugu North,Freelancing
20000000071,Cross River,Lagos,Alimosho,Agriculture
20000000072,Bauchi,Bauchi,Bauchi,Remittance
20000000073,Edo,Anambra,Awka South,Salary
20000000074,Delta,Rivers,Obio-Akpor,Freelancing
20000000075,Anambra,Delta,Warri South,Salary
20000000076,Akwa Ibom,Taraba,Jalingo,Agriculture
20000000077,Borno,Anambra,Nnewi North,Salary
20000000078,Nasarawa,Rivers,Okrika,Agriculture
20000000079,Enugu,Ekiti,Ado-Ekiti,Investment
20000000080,Lagos,Nasarawa,Keffi,Freelancing
20000000081,Kwara,Oyo,Ibadan South-West,Agriculture
20000000082,Oyo,Enugu,Nsukka,Agriculture
20000000083,Zamfara,Niger,Bida,Freelancing
20000000084,Ekiti,Katsina,Daura,Salary
20000000085,Ogun,Kwara,Ilorin East,Agriculture
20000000086,Taraba,Taraba,Jalingo,Salary
20000000087,Jigawa,Lagos,Alimosho,Agriculture
20000000088,Zamfara,Kogi,Lokoja,Investment
20000000089,Oyo,FCT,Bwari,Investment
20000000090,Ekiti,Edo,Ikpoba-Okha,Business
20000000091,Abia,Lagos,Ikeja,Freelancing
20000000092,Kogi,Enugu,Enugu North,Business
20000000093,Adamawa,Benue,Gboko,Business
