bvn,first_name,last_name,gender,age,date_of_birth,marital_status,nationality,employment_status,occupation,employment_sector,education_level,years_of_experience
20000000000,Olu,Lawal,Male,34,1992-01-01,Married,Nigerian,Employed,Civil Servant,NGO,Diploma,14.0
20000000001,Bisi,Ogunleye,Female,59,1967-01-01,Single,Nigerian,Self-Employed,Trader,NGO,PhD,7.0
20000000002,Bisi,Balogun,Female,63,1963-01-01,Single,Nigerian,Self-Employed,Artisan,Public,PhD,11.0
20000000003,Ibrahim,Lawal,Male,34,1992-01-01,Married,Nigerian,Student,Student,,Bachelors,
20000000004,Ngozi,Okoye,Female,55,1971-01-01,Married,Nigerian,Employed,Accountant,NGO,Secondary,8.0
20000000005,Musa,Okafor,Male,30,1996-01-01,Divorced,Nigerian,Employed,Accountant,Private,PhD,4.0
20000000006,Kemi,Mohammed,Female,30,1996-01-01,Married,Nigerian,Student,Student,,Masters,
20000000007,Funke,Ogunleye,Female,59,1967-01-01,Divorced,Nigerian,Retired,Retired,,Primary,
20000000008,Funke,Ogunleye,Female,61,1965-01-01,Widowed,Nigerian,Employed,Teacher,NGO,Diploma,12.0
20000000009,Ade,Lawal,Male,28,1998-01-01,Widowed,Nigerian,Self-Employed,Farmer,Private,Diploma,3.0
20000000010,Yusuf,Okoye,Male,70,1956-01-01,Married,Nigerian,Retired,Retired,,Diploma,
20000000011,Ibrahim,Mohammed,Male,44,1982-01-01,Single,Nigerian,Employed,Civil Servant,Informal,Masters,3.0
20000000012,Bisi,Mohammed,Female,18,2008-01-01,Married,Nigerian,Student,Student,,Primary,
20000000013,Tunde,Adeyemi,Male,68,1958-01-01,Married,Nigerian,Retired,Retired,,PhD,
20000000014,Ade,Sadiq,Male,20,2006-01-01,Widowed,Nigerian,Student,Student,,Secondary,
20000000015,Ngozi,Lawal,Female,44,1982-01-01,Single,Nigerian,Retired,Retired,,Masters,
20000000016,Zainab,Mohammed,Female,19,2007-01-01,Married,Nigerian,Student,Student,,Masters,
20000000017,Olu,Adeyemi,Male,52,1974-01-01,Married,Nigerian,Employed,Accountant,Public,Diploma,8.0
20000000018,Kunle,Balogun,Male,57,1969-01-01,Single,Nigerian,Employed,Civil Servant,NGO,Masters,32.0
20000000019,Bisi,Lawal,Female,24,2002-01-01,Widowed,Nigerian,Employed,Civil Servant,Public,PhD,5.0
20000000020,Sade,Okafor,Female,24,2002-01-01,Divorced,Nigerian,Student,Student,,Secondary,
20000000021,Sade,Okafor,Female,65,1961-01-01,Married,Nigerian,Student,Student,,Primary,
20000000022,Kunle,Abdullahi,Male,23,2003-01-01,Divorced,Nigerian,Retired,Retired,,PhD,
20000000023,Amaka,Lawal,Female,21,2005-01-01,Married,Nigerian,Student,Student,,PhD,
20000000024,Halima,Okoye,Female,64,1962-01-01,Widowed,Nigerian,Self-Employed,Trader,NGO,Bachelors,43.0
20000000025,Olu,Adeyemi,Male,37,1989-01-01,Widowed,Nigerian,Retired,Retired,,Primary,
20000000026,Sade,Akinwale,Female,57,1969-01-01,Single,Nigerian,Retired,Retired,,Secondary,
20000000027,Olu,Balogun,Male,43,1983-01-01,Married,Nigerian,Student,Student,,Masters,
20000000028,Amaka,Abdullahi,Female,66,1960-01-01,Single,Nigerian,Retired,Retired,,Primary,
20000000029,Zainab,Mohammed,Female,18,2008-01-01,Single,Nigerian,Student,Student,,PhD,
20000000030,Tunde,Okoye,Male,28,1998-01-01,Divorced,Nigerian,Employed,Teacher,Public,Diploma,7.0
20000000031,Aisha,Mohammed,Female,48,1978-01-01,Married,Nigerian,Self-Employed,Trader,Informal,Bachelors,2.0
20000000032,Sadiq,Sadiq,Male,55,1971-01-01,Widowed,Nigerian,Employed,Teacher,Public,Primary,17.0
20000000033,Halima,Lawal,Female,28,1998-01-01,Single,Nigerian,Employed,Accountant,Public,Primary,4.0
20000000034,Funke,Balogun,Female,51,1975-01-01,Married,Nigerian,Retired,Retired,,Secondary,
20000000035,Olu,Sadiq,Male,53,1973-01-01,Single,Nigerian,Employed,Accountant,Public,Secondary,26.0
