bvn,assessment_year,state_of_residence,local_government_area,months_total,months_high,inflows_sum,outflows_sum,spending_ratio_avg,lga_baseline_outflows,state_baseline_outflows,peer_ratio_lga,peer_ratio_state,risk_score,status,flag_reason
20000000000,2025,Plateau,Jos North,3,0,652647.0,94120.0,0.0,22602.0,24043.0,4.164,3.915,43.321,Review,Outflows are 4.2× higher than LGA typical.
20000000001,2025,Oyo,Ibadan North,3,2,433654.0,272753.0,0.0,26155.0,25475.0,10.428,10.707,69.333,Flagged,Outflows are 10.4× higher than LGA typical. Pattern repeats in 2/3 months.
20000000002,2025,Bayelsa,Ogbia,3,2,639785.0,364965.0,0.0,20906.0,21810.0,17.457,16.734,69.333,Flagged,Outflows are 17.5× higher than LGA typical. Pattern repeats in 2/3 months.
20000000003,2025,Oyo,Ogbomosho North,3,1,76170.0,81433.0,0.0,25914.0,25475.0,3.142,3.197,43.043,Review,Outflows are 3.1× higher than LGA typical.
20000000004,2025,Lagos,Eti-Osa,3,1,1176398.0,410286.0,0.0,23251.0,23760.0,17.646,17.268,63.667,Review,Outflows are 17.6× higher than LGA typical.
20000000005,2025,Katsina,Daura,3,2,238130.0,483417.0,0.0,24327.5,23491.5,19.871,20.578,69.333,Flagged,Outflows are 19.9× higher than LGA typical. Pattern repeats in 2/3 months.
20000000006,2025,Lagos,Ikeja,3,0,31976.0,84980.0,0.0,30549.0,21460.5,2.782,3.96,42.19,Review,Outflows are 2.8× higher than LGA typical.
20000000007,2025,Gombe,Kaltungo,3,0,106508.0,50044.0,0.0,25655.0,24281.5,1.951,2.061,27.509,Compliant,Behaviour is within typical ranges for peers.
20000000008,2025,Rivers,Obio-Akpor,3,1,1304110.0,265191.0,0.0,18663.0,23861.0,14.209,11.114,63.667,Review,Outflows are 14.2× higher than LGA typical.
20000000009,2025,Kaduna,Zaria,3,1,398127.0,159616.0,0.0,24531.0,24311.0,6.507,6.566,59.224,Review,Outflows are 6.5× higher than LGA typical.
20000000010,2025,Taraba,Wukari,3,0,140665.0,57959.0,0.0,23084.0,23084.0,2.511,2.511,31.947,Compliant,Outflows are 2.5× higher than LGA typical.
20000000011,2025,Imo,Owerri Municipal,3,2,303559.0,348990.0,0.0,25559.0,24297.5,13.654,14.363,69.333,Flagged,Outflows are 13.7× higher than LGA typical. Pattern repeats in 2/3 months.
20000000012,2025,FCT,Abuja Municipal,3,0,45067.0,27450.0,0.0,21404.5,24213.0,1.282,1.134,16.843,Compliant,Behaviour is within typical ranges for peers.
20000000013,2025,Bauchi,Azare,3,0,134889.0,67295.0,0.0,20368.0,23184.0,3.304,2.903,38.119,Compliant,Outflows are 3.3× higher than LGA typical.
20000000014,2025,Zamfara,Kaura Namoda,3,0,117275.0,19231.0,0.0,22294.0,23621.0,0.863,0.814,11.25,Compliant,Behaviour is within typical ranges for peers.
20000000015,2025,Kaduna,Zaria,3,0,106797.0,45714.0,0.0,26485.0,25624.5,1.726,1.784,24.264,Compliant,Behaviour is within typical ranges for peers.
20000000016,2025,Yobe,Damaturu,3,0,118321.0,40959.0,0.0,23834.5,24355.5,1.718,1.682,23.423,Compliant,Behaviour is within typical ranges for peers.
20000000017,2025,Abia,Umuahia North,3,1,330200.0,244164.0,0.0,22495.0,22841.5,10.854,10.689,63.667,Review,Outflows are 10.9× higher than LGA typical.
20000000018,2025,Jigawa,Hadejia,3,1,651408.0,275874.0,0.0,30161.0,27396.5,9.147,10.07,63.667,Review,Outflows are 9.1× higher than LGA typical.
20000000019,2025,Anambra,Nnewi North,3,0,1238604.0,66168.0,0.0,19744.0,23173.0,3.351,2.855,38.439,Compliant,Outflows are 3.4× higher than LGA typical.
20000000020,2025,Bayelsa,Yenagoa,3,0,49014.0,55681.0,0.0,22613.0,23490.0,2.462,2.37,31.509,Compliant,Behaviour is within typical ranges for peers.
20000000021,2025,Osun,Ilesa East,3,0,119444.0,16732.0,0.0,24355.5,23643.5,0.687,0.708,11.25,Compliant,Behaviour is within typical ranges for peers.
20000000022,2025,Katsina,Daura,3,0,136475.0,75949.0,0.0,24030.0,22776.0,3.161,3.335,38.326,Compliant,Outflows are 3.2× higher than LGA typical.
20000000023,2025,Abia,Umuahia North,3,0,58629.0,16833.0,0.0,23928.0,24900.5,0.703,0.676,11.25,Compliant,Behaviour is within typical ranges for peers.
20000000024,2025,Kano,Nassarawa,3,2,943339.0,312502.0,0.0,19406.0,23536.0,16.103,13.278,69.333,Flagged,Outflows are 16.1× higher than LGA typical. Pattern repeats in 2/3 months.
20000000025,2025,Katsina,Katsina,3,0,89235.0,78728.0,0.0,22129.5,21760.0,3.558,3.618,40.16,Review,Outflows are 3.6× higher than LGA typical.
20000000026,2025,Lagos,Surulere,3,0,62281.0,64715.0,0.0,22604.0,22604.0,2.863,2.863,34.898,Compliant,Outflows are 2.9× higher than LGA typical.
20000000027,2025,Kogi,Okene,3,0,94956.0,44632.0,0.0,25690.0,25461.0,1.737,1.753,23.869,Compliant,Behaviour is within typical ranges for peers.
20000000028,2025,Kaduna,Kaduna South,3,1,131503.0,102111.0,0.0,21719.0,25624.5,4.701,3.985,51.716,Review,Outflows are 4.7× higher than LGA typical.
20000000029,2025,Taraba,Jalingo,3,0,39455.0,14444.0,0.0,21918.0,20218.0,0.659,0.714,11.25,Compliant,Behaviour is within typical ranges for peers.
20000000030,2025,Borno,Biu,3,2,273844.0,336038.0,0.0,22588.0,22047.0,14.877,15.242,69.333,Flagged,Outflows are 14.9× higher than LGA typical. Pattern repeats in 2/3 months.
20000000031,2025,Enugu,Enugu North,3,2,632405.0,402416.0,0.0,22034.0,24813.5,18.263,16.218,69.333,Flagged,Outflows are 18.3× higher than LGA typical. Pattern repeats in 2/3 months.
20000000032,2025,Yobe,Damaturu,3,1,890719.0,165155.0,0.0,25737.0,23688.0,6.417,6.972,60.575,Review,Outflows are 6.4× higher than LGA typical.
20000000033,2025,FCT,Abuja Municipal,3,2,333184.0,248133.0,0.0,30147.0,23890.0,8.231,10.386,69.333,Flagged,Outflows are 8.2× higher than LGA typical. Pattern repeats in 2/3 months.
